policy_id,policyholder_age,policy_tenure_months,premium_amount,coverage_amount,payment_history_score,predicted_lapse_risk,confidence_interval_lower,confidence_interval_upper,explanation_strength,explanation_type,human_override,response_time_seconds,initial_trust_score,actual_lapse_occurred,post_decision_trust_score,intervention_taken,decision_timestamp,trust_change_direction,decision_delay_bucket,external_pressure
POL-600956,45,44,138.81,454000,0.89,0.29,0.15,0.48,0.66,SHAP,FALSE,190,0.87,FALSE,0.6,coverage_review,7/24/25 17:43,increase,delayed,none
POL-492606,45,224,890.87,90000,0.52,0.43,0.14,0.36,0.92,LIME,TRUE,160,0.7,TRUE,0.4,retention_call,3/25/24 13:30,increase,delayed,high
POL-622970,36,80,997.35,77000,0.63,0.12,0.09,0.14,0.88,feature_importance,FALSE,15,0.94,FALSE,0.95,none,5/9/24 16:11,neutral,fast,none
POL-315701,64,350,52.3,596000,0.81,0.52,0.2,0.21,0.84,SHAP,FALSE,68,0.88,FALSE,0.78,none,12/8/25 13:33,neutral,moderate,none
POL-901248,33,100,112.34,798000,0.52,0.28,0.42,0.52,0.69,rule-based,FALSE,162,0.6,FALSE,0.42,none,4/25/24 18:03,increase,delayed,none
POL-919234,28,360,75.24,607000,0.71,0.51,0.48,0.58,0.92,counterfactual,TRUE,75,0.53,TRUE,0.63,coverage_review,7/8/25 10:54,increase,moderate,mild
POL-402405,43,520,174.83,951000,0.88,0.29,0.18,0.38,0.63,LIME,FALSE,70,0.66,FALSE,0.42,coverage_review,3/17/25 14:49,increase,moderate,none
POL-901259,45,82,519.7,333000,0.92,0.37,0.08,0.52,0.79,LIME,FALSE,102,0.55,FALSE,0.72,none,7/7/24 18:19,increase,delayed,mild
POL-014711,35,360,586.18,2000000,0.92,0.38,0.18,0.18,0.86,counterfactual,FALSE,28,0.78,FALSE,0.92,none,3/8/25 12:00,neutral,fast,mild
POL-575984,70,392,153.35,124000,0.65,0.42,0.45,0.66,0.61,feature_importance,TRUE,15,0.71,TRUE,0.5,retention_call,3/29/24 9:05,increase,fast,none
POL-707662,39,200,128.57,1968000,0.92,0.41,0.02,0.08,0.92,SHAP,FALSE,30,0.95,FALSE,0.58,none,5/15/25 15:06,increase,fast,none
POL-862701,39,370,133.83,998000,0.52,0.45,0.45,0.84,0.68,feature_importance,FALSE,130,0.76,TRUE,0.54,premium_adjustment,5/29/24 11:35,increase,delayed,mild
POL-799201,45,140,126.23,687000,0.82,0.27,0.12,0.24,0.65,counterfactual,FALSE,82,0.9,FALSE,0.76,none,3/1/25 13:37,increase,moderate,none
POL-603183,28,202,1368.76,70000,0.8,0.05,0.48,0.76,0.56,SHAP,TRUE,330,0.68,TRUE,0.5,premium_adjustment,7/11/24 18:49,increase,delayed,none
POL-771795,68,260,60.54,101000,0.68,0.58,0.38,0.42,0.74,feature_importance,FALSE,70,0.66,FALSE,0.6,retention_call,10/15/25 9:06,neutral,moderate,mild
POL-651331,33,190,52.36,355000,0.78,0.39,0.26,0.64,0.64,LIME,FALSE,64,0.66,FALSE,0.72,none,10/12/24 15:45,increase,moderate,none
POL-278389,65,110,75.29,359000,0.56,0.48,0.48,0.58,0.73,LIME,FALSE,115,0.53,FALSE,0.84,coverage_review,8/4/25 8:09,increase,delayed,mild
POL-114812,41,72,100.15,425000,0.97,0.32,0.04,0.15,0.73,rule-based,FALSE,45,0.6,FALSE,0.76,none,9/4/25 16:47,increase,moderate,none
POL-925673,28,310,189.69,1527000,0.77,0.65,0.48,0.48,0.85,counterfactual,FALSE,18,0.9,FALSE,0.51,none,11/2/24 15:58,neutral,fast,mild
POL-590905,60,366,177.73,186000,0.87,0.4,0.54,0.88,0.66,rule-based,TRUE,15,0.71,TRUE,0.48,retention_call,5/18/24 11:33,increase,fast,none
POL-904738,37,100,749.41,1210000,0.58,0.32,0.15,0.34,0.84,LIME,FALSE,110,0.81,FALSE,0.95,none,9/28/24 15:15,increase,delayed,mild
POL-601255,57,260,52.32,1202000,0.97,0.08,0.48,0.84,0.92,LIME,FALSE,50,0.9,TRUE,0.54,none,8/27/24 9:11,increase,moderate,none
POL-519780,68,130,1470.37,79000,0.83,0.3,0.04,0.4,0.66,SHAP,FALSE,80,0.7,FALSE,0.77,none,7/22/24 13:59,increase,moderate,none
POL-414930,70,6,149.25,422000,0.79,0.59,0.34,0.65,0.79,feature_importance,TRUE,65,0.73,TRUE,0.7,coverage_review,4/27/25 18:37,increase,moderate,mild
POL-001863,70,120,981.26,980000,0.97,0.08,0.56,0.48,0.74,SHAP,FALSE,52,0.63,FALSE,0.63,none,4/28/24 12:47,decrease,moderate,none
POL-070310,31,186,407.8,1777000,0.52,0.46,0.08,0.34,0.63,LIME,FALSE,44,0.62,FALSE,0.85,premium_adjustment,10/22/24 10:05,increase,moderate,mild
POL-576112,48,212,67.16,521000,0.77,0.05,0.34,0.52,0.63,counterfactual,FALSE,38,0.76,FALSE,0.41,coverage_review,1/26/25 10:26,increase,fast,none
POL-269612,49,6,117.8,181000,0.94,0.05,0.58,0.12,0.65,LIME,TRUE,15,0.62,TRUE,0.54,premium_adjustment,2/26/24 10:03,decrease,fast,none
POL-008203,33,90,268.76,289000,0.7,0.41,0.48,0.36,0.66,LIME,FALSE,80,0.68,FALSE,0.6,coverage_review,9/30/25 18:17,decrease,moderate,mild
POL-192864,60,150,117.45,1695000,0.74,0.21,0.14,0.52,0.63,SHAP,FALSE,74,0.83,FALSE,0.73,none,8/6/25 15:42,increase,moderate,none
POL-279224,28,400,661.08,349000,0.57,0.05,0.02,0.74,0.72,LIME,TRUE,160,0.62,TRUE,0.55,retention_call,10/23/24 13:33,increase,delayed,none
POL-20747,70,90,266.51,70000,0.98,0.35,0.48,0.32,0.69,LIME,FALSE,85,0.6,FALSE,0.64,none,5/19/25 9:09,decrease,moderate,mild
POL-912234,43,150,564.99,691000,0.82,0.61,0.58,0.24,0.83,LIME,FALSE,330,0.68,FALSE,0.76,none,3/23/25 16:25,decrease,delayed,high
POL-570707,46,140,1455.4,79000,0.9,0.33,0.18,0.3,0.63,LIME,FALSE,22,0.88,FALSE,0.8,none,5/31/24 18:45,increase,fast,mild
POL-145501,51,436,358.26,1651000,0.52,0.43,0.18,0.44,0.72,LIME,FALSE,22,0.51,FALSE,0.63,none,10/13/25 14:00,increase,fast,mild
POL-909211,61,6,133.26,527000,0.97,0.58,0.42,0.24,0.82,counterfactual,TRUE,15,0.59,TRUE,0.54,premium_adjustment,12/6/25 11:01,decrease,fast,mild
POL-165755,66,210,994.9,1111000,0.86,0.1,0.04,0.12,0.76,SHAP,FALSE,80,0.79,FALSE,0.78,none,7/28/25 8:03,increase,moderate,none
POL-114430,55,442,1317.15,905000,0.8,0.68,0.12,0.56,0.56,LIME,FALSE,18,0.85,FALSE,0.58,premium_adjustment,11/8/25 17:40,increase,fast,high
POL-864371,64,110,599.04,386000,0.81,0.32,0.18,0.36,0.71,SHAP,TRUE,62,0.87,FALSE,0.58,premium_adjustment,11/24/25 18:19,increase,moderate,mild
POL-715031,47,182,286.09,644000,0.76,0.68,0.38,0.48,0.56,LIME,FALSE,95,0.61,FALSE,0.84,none,9/4/24 16:47,increase,moderate,high
POL-718000,67,300,310.33,267000,0.59,0.71,0.48,0.82,0.92,SHAP,FALSE,160,0.65,TRUE,0.87,premium_adjustment,4/20/24 16:49,increase,delayed,high
POL-424970,50,170,420.27,775000,0.94,0.47,0.34,0.34,0.79,SHAP,FALSE,76,0.72,FALSE,0.88,none,3/20/24 18:00,neutral,moderate,mild
POL-558919,55,60,210.11,496000,0.82,0.26,0.32,0.5,0.63,feature_importance,FALSE,168,0.76,FALSE,0.72,retention_call,3/13/24 10:09,increase,delayed,mild
POL-441821,30,66,222.79,1517000,0.75,0.25,0.14,0.1,0.85,counterfactual,FALSE,50,0.62,FALSE,0.95,none,6/23/24 8:49,neutral,moderate,none
POL-753702,35,6,1486.48,2000000,0.81,0.22,0.18,0.28,0.68,feature_importance,FALSE,15,0.68,FALSE,0.6,none,7/4/25 14:33,increase,fast,none
POL-326891,33,12,130.79,983000,0.94,0.62,0.02,0.6,0.55,rule-based,FALSE,160,0.65,FALSE,0.68,premium_adjustment,7/8/25 16:40,increase,delayed,mild
POL-963943,35,100,420.02,937000,0.88,0.27,0.14,0.3,0.76,SHAP,FALSE,105,0.53,FALSE,0.86,coverage_review,3/6/25 18:59,increase,delayed,mild
POL-701271,63,380,210.68,285000,0.68,0.35,0.58,0.3,0.71,counterfactual,FALSE,160,0.63,TRUE,0.54,coverage_review,10/30/25 14:57,decrease,delayed,mild
POL-591945,63,220,987.22,183000,0.7,0.05,0.44,0.08,0.78,rule-based,TRUE,55,0.82,TRUE,0.81,none,8/30/24 15:50,decrease,moderate,none
POL-119931,31,210,75.14,1649000,0.94,0.7,0.58,0.74,0.58,feature_importance,TRUE,110,0.71,TRUE,0.42,retention_call,5/9/25 15:09,increase,delayed,high
POL-461205,54,124,60.67,795000,0.62,0.5,0.26,0.18,0.46,SHAP,FALSE,52,0.69,FALSE,0.78,retention_call,10/8/25 13:33,decrease,moderate,none
POL-973961,35,266,52.55,269000,0.92,0.14,0.04,0.22,0.89,feature_importance,FALSE,88,0.95,FALSE,0.95,none,2/23/25 15:09,increase,moderate,none
POL-788771,59,76,999.57,121000,0.66,0.05,0.38,0.74,0.78,rule-based,TRUE,15,0.7,TRUE,0.46,premium_adjustment,12/7/24 18:50,increase,fast,none
POL-804889,54,290,438.47,1023000,0.89,0.71,0.48,0.74,0.7,LIME,TRUE,252,0.72,TRUE,0.7,retention_call,9/17/25 14:43,increase,delayed,high
POL-675333,68,180,349.02,1773000,0.9,0.05,0.56,0.56,0.76,rule-based,TRUE,95,0.7,FALSE,0.81,coverage_review,1/26/24 9:43,neutral,moderate,none
POL-101945,29,54,419.97,83000,0.9,0.05,0.55,0.62,0.92,rule-based,TRUE,15,0.85,FALSE,0.88,coverage_review,7/28/24 10:43,increase,fast,none
POL-527633,70,390,196.98,942000,0.91,0.59,0.2,0.21,0.86,SHAP,FALSE,46,0.76,FALSE,0.62,none,2/14/25 9:11,neutral,moderate,mild
POL-603388,53,88,335.2,983000,0.82,0.42,0.44,0.44,0.64,feature_importance,FALSE,165,0.69,TRUE,0.58,retention_call,12/25/24 16:33,neutral,delayed,high
POL-708263,61,196,190.19,603000,0.81,0.25,0.28,0.48,0.6,LIME,FALSE,90,0.63,FALSE,0.82,none,8/26/24 18:06,increase,moderate,none
POL-120271,60,270,441.22,1644000,0.8,0.5,0.12,0.08,0.92,rule-based,TRUE,40,0.6,FALSE,0.81,none,7/15/25 15:25,neutral,fast,high
POL-001237,33,84,189.51,425000,0.96,0.22,0.12,0.08,0.88,counterfactual,FALSE,100,0.6,FALSE,0.66,none,9/24/25 16:33,neutral,moderate,none
POL-477742,29,120,128.59,932000,0.9,0.71,0.1,0.58,0.86,SHAP,FALSE,50,0.51,FALSE,0.95,none,7/23/24 16:49,increase,moderate,mild
POL-860179,38,210,141.54,779000,0.7,0.59,0.04,0.66,0.72,LIME,TRUE,24,0.85,FALSE,0.58,retention_call,8/24/25 10:24,increase,fast,mild
POL-411949,38,362,993.27,268000,0.96,0.11,0.16,0.5,0.86,counterfactual,FALSE,18,0.56,FALSE,0.6,none,5/26/25 13:33,increase,fast,none
POL-618217,52,26,381.73,1237000,0.57,0.36,0.3,0.44,0.46,feature_importance,FALSE,180,0.85,FALSE,0.92,premium_adjustment,12/8/25 13:33,increase,delayed,mild
POL-777971,50,210,174.86,182000,0.53,0.25,0.02,0.28,0.6,rule-based,FALSE,52,0.6,FALSE,0.63,none,7/26/25 10:06,increase,moderate,none
POL-417781,31,14,252.39,121000,0.68,0.05,0.56,0.52,0.88,counterfactual,TRUE,118,0.95,FALSE,0.65,none,12/8/25 13:33,neutral,delayed,none
POL-404210,28,36,189.96,1595000,0.67,0.32,0.2,0.2,0.68,feature_importance,FALSE,24,0.91,FALSE,0.84,none,2/20/25 10:35,neutral,fast,none
POL-718394,55,8,151.55,1697000,0.92,0.22,0.48,0.58,0.79,LIME,FALSE,15,0.79,FALSE,0.7,coverage_review,6/26/25 11:03,increase,fast,none
POL-687719,55,212,152.58,772000,0.68,0.6,0.58,0.66,0.75,LIME,TRUE,115,0.58,TRUE,0.73,coverage_review,8/30/24 10:52,increase,delayed,high
POL-893891,48,240,52.54,72000,0.78,0.36,0.18,0.3,0.77,counterfactual,FALSE,142,0.77,FALSE,0.75,none,6/15/25 15:45,increase,delayed,none
POL-403700,46,240,260.11,2000000,0.56,0.28,0.08,0.38,0.6,counterfactual,FALSE,30,0.88,FALSE,0.84,none,9/5/24 11:17,increase,fast,none
POL-801859,59,44,52.6,1765000,0.66,0.4,0.35,0.3,0.67,rule-based,FALSE,25,0.63,FALSE,0.4,coverage_review,9/26/25 10:06,neutral,fast,none
POL-324458,48,200,1485.11,161000,0.82,0.19,0.38,0.66,0.83,counterfactual,FALSE,55,0.82,FALSE,0.64,coverage_review,11/17/25 10:11,increase,moderate,none
POL-419260,62,164,521.83,1118000,0.9,0.65,0.58,0.58,0.72,SHAP,TRUE,90,0.75,TRUE,0.52,premium_adjustment,1/26/25 11:43,neutral,moderate,high
POL-467620,63,200,89.53,275000,0.87,0.32,0.4,0.76,0.81,feature_importance,FALSE,56,0.7,TRUE,0.58,none,3/25/25 12:00,increase,moderate,none
POL-774149,60,300,140.38,776000,0.87,0.18,0.32,0.32,0.5,counterfactual,FALSE,160,0.95,TRUE,0.61,premium_adjustment,4/1/24 18:26,neutral,delayed,none
POL-210274,55,400,1292.55,993000,0.6,0.22,0.14,0.45,0.62,feature_importance,FALSE,72,0.74,FALSE,0.74,none,3/2/25 18:37,increase,moderate,none
POL-002207,38,52,234.31,533000,0.83,0.64,0.02,0.22,0.78,counterfactual,FALSE,15,0.9,FALSE,0.93,none,5/26/25 13:00,increase,fast,high
POL-826562,54,200,413.61,112000,0.57,0.13,0.12,0.2,0.66,counterfactual,FALSE,60,0.71,FALSE,0.61,none,9/19/25 12:07,increase,moderate,none
POL-573308,41,212,644.38,786000,0.7,0.38,0.35,0.18,0.49,LIME,FALSE,76,0.89,FALSE,0.7,none,1/26/24 9:43,decrease,moderate,mild
POL-257764,28,398,786.79,70000,0.92,0.41,0.4,0.5,0.69,feature_importance,FALSE,48,0.7,FALSE,0.68,none,3/20/24 18:11,increase,moderate,mild
POL-152918,64,190,1346.21,449000,0.85,0.65,0.08,0.08,0.74,SHAP,FALSE,66,0.85,FALSE,0.88,none,7/7/24 13:58,neutral,moderate,high
POL-79013,55,74,283.41,982000,0.93,0.24,0.02,0.66,0.69,SHAP,FALSE,112,0.63,FALSE,0.65,none,11/15/25 12:54,increase,delayed,mild
POL-028249,62,150,190.32,643000,0.79,0.21,0.28,0.4,0.63,counterfactual,TRUE,100,0.66,FALSE,0.6,retention_call,5/20/24 10:10,increase,moderate,none
POL-927421,69,210,143.93,428000,0.81,0.35,0.38,0.82,0.76,rule-based,TRUE,330,0.85,TRUE,0.68,premium_adjustment,9/26/24 15:58,increase,delayed,mild
POL-826144,46,38,718.11,1640000,0.78,0.22,0.14,0.4,0.72,SHAP,FALSE,58,0.86,FALSE,0.72,none,11/6/24 11:33,increase,moderate,none
POL-154423,62,428,444.46,482000,0.61,0.51,0.42,0.6,0.47,SHAP,FALSE,15,0.79,FALSE,0.71,none,11/15/24 10:42,increase,fast,mild
POL-943212,28,272,129.35,795000,0.97,0.05,0.04,0.7,0.78,SHAP,TRUE,20,0.86,FALSE,0.95,premium_adjustment,1/26/25 9:38,increase,fast,none
POL-413968,49,210,386.89,1274000,0.88,0.1,0.08,0.18,0.56,SHAP,FALSE,30,0.6,FALSE,0.65,none,4/2/25 9:00,increase,fast,none
POL-595941,53,520,385.3,1309000,0.85,0.42,0.48,0.41,0.76,rule-based,TRUE,230,0.58,TRUE,0.7,coverage_review,1/1/25 11:43,decrease,delayed,high
POL-120812,62,356,335.39,1454000,0.8,0.05,0.22,0.24,0.7,LIME,TRUE,189,0.72,FALSE,0.75,none,1/24/25 8:23,neutral,delayed,none
POL-702282,39,48,98.09,120000,0.89,0.22,0.22,0.36,0.88,counterfactual,FALSE,20,0.83,FALSE,0.76,none,3/15/24 10:34,increase,fast,none
POL-204970,42,320,415.16,350000,0.8,0.56,0.34,0.64,0.69,feature_importance,FALSE,15,0.6,FALSE,0.74,coverage_review,5/26/25 13:13,increase,fast,mild
POL-001249,42,6,166.57,70000,0.98,0.43,0.32,0.18,0.7,SHAP,FALSE,140,0.62,FALSE,0.79,none,8/24/24 16:03,decrease,delayed,mild
POL-200931,57,280,420.02,1828000,0.8,0.23,0.44,0.15,0.69,feature_importance,FALSE,28,0.7,FALSE,0.85,none,4/1/25 13:44,decrease,fast,none
POL-373443,42,90,190.56,320000,0.88,0.5,0.02,0.42,0.68,rule-based,FALSE,60,0.61,FALSE,0.68,none,7/7/24 18:12,increase,moderate,none
POL-407281,28,262,1457.94,605000,0.81,0.66,0.52,0.5,0.66,counterfactual,FALSE,78,0.67,FALSE,0.58,none,10/17/25 13:09,neutral,moderate,high
POL-584229,52,150,518.48,1569000,0.82,0.31,0.14,0.3,0.71,SHAP,FALSE,42,0.84,FALSE,0.76,coverage_review,3/21/25 17:03,increase,moderate,mild
POL-110902,33,82,60.39,263000,0.61,0.71,0.38,0.78,0.66,LIME,TRUE,45,0.6,TRUE,0.5,retention_call,1/26/24 9:43,increase,moderate,high
POL-91336,28,320,725.71,1236000,0.72,0.61,0.55,0.76,0.74,counterfactual,TRUE,230,0.78,TRUE,0.4,premium_adjustment,10/17/25 12:59,increase,delayed,high
POL-079285,29,12,185.5,652000,0.7,0.49,0.16,0.59,0.92,LIME,FALSE,222,0.51,FALSE,0.8,coverage_review,10/6/24 16:19,increase,delayed,mild
POL-830217,52,120,266.24,902000,0.62,0.48,0.28,0.48,0.75,LIME,TRUE,140,0.72,TRUE,0.41,coverage_review,10/24/24 16:15,increase,delayed,high
POL-002668,49,150,1256.06,120000,0.93,0.25,0.48,0.48,0.62,SHAP,FALSE,34,0.63,FALSE,0.4,none,7/20/25 10:50,neutral,fast,none
POL-901696,49,84,190.36,110000,0.98,0.52,0.2,0.4,0.78,counterfactual,FALSE,50,0.81,FALSE,0.94,retention_call,12/11/24 17:26,increase,moderate,mild
POL-914578,68,314,65,968000,0.83,0.05,0.34,0.14,0.74,SHAP,FALSE,105,0.61,FALSE,0.58,retention_call,11/30/24 9:51,decrease,delayed,none
POL-582930,48,80,67.37,184000,0.92,0.32,0.04,0.4,0.63,LIME,FALSE,16,0.75,FALSE,0.66,none,5/18/24 13:09,increase,fast,none
POL-184773,58,120,67.94,75000,0.82,0.28,0.12,0.32,0.73,LIME,FALSE,42,0.77,FALSE,0.88,coverage_review,5/17/24 14:19,increase,moderate,none
POL-819385,34,12,980.22,696000,0.93,0.28,0.26,0.34,0.66,SHAP,FALSE,50,0.64,FALSE,0.9,none,12/8/25 10:05,increase,moderate,mild
POL-908221,48,324,278.35,525000,0.98,0.71,0.28,0.74,0.5,counterfactual,TRUE,68,0.68,TRUE,0.55,premium_adjustment,11/14/25 15:11,increase,moderate,high
POL-701401,48,190,69.31,123000,0.88,0.21,0.18,0.44,0.66,LIME,FALSE,88,0.66,FALSE,0.67,none,10/1/24 14:49,increase,moderate,none
POL-462814,52,340,517.74,295000,0.78,0.38,0.3,0.22,0.82,SHAP,FALSE,46,0.92,FALSE,0.66,premium_adjustment,10/20/24 17:09,decrease,moderate,mild
POL-127449,31,40,518.38,791000,0.72,0.28,0.1,0.3,0.62,SHAP,FALSE,15,0.68,FALSE,0.68,none,5/28/24 14:47,increase,fast,mild
POL-774401,48,26,74.11,989000,0.98,0.22,0.06,0.3,0.67,LIME,FALSE,22,0.63,FALSE,0.94,none,3/20/24 13:05,increase,fast,none
POL-968354,28,229,1466.25,120000,0.92,0.25,0.38,0.78,0.68,feature_importance,FALSE,52,0.88,FALSE,0.88,none,4/5/25 15:11,increase,moderate,none
POL-802330,55,84,66.89,70000,0.89,0.05,0.5,0.46,0.81,rule-based,FALSE,68,0.66,TRUE,0.67,premium_adjustment,10/26/24 10:23,neutral,moderate,none
POL-601219,39,190,311.52,70000,0.78,0.66,0.04,0.48,0.86,SHAP,FALSE,28,0.6,FALSE,0.45,none,1/26/24 9:43,increase,fast,high
POL-988741,39,222,295.25,319000,0.62,0.42,0.2,0.38,0.66,SHAP,FALSE,28,0.62,FALSE,0.7,none,9/4/24 9:43,increase,fast,mild
POL-183970,53,410,1202.65,888000,0.64,0.49,0.42,0.4,0.89,SHAP,FALSE,150,0.75,FALSE,0.76,premium_adjustment,11/15/24 8:11,neutral,delayed,high
POL-117902,38,372,981.3,315000,0.77,0.05,0.32,0.08,0.92,LIME,FALSE,30,0.51,FALSE,0.6,premium_adjustment,8/8/25 10:11,decrease,fast,none
POL-506920,28,206,52.37,122000,0.59,0.05,0.34,0.75,0.51,LIME,TRUE,250,0.81,TRUE,0.6,retention_call,5/22/24 13:52,increase,delayed,none
POL-900259,32,16,124.05,765000,0.8,0.53,0.26,0.69,0.66,LIME,FALSE,40,0.63,FALSE,0.72,retention_call,10/11/24 9:20,increase,fast,mild
POL-328811,60,128,52.49,1449000,0.92,0.71,0.42,0.18,0.92,rule-based,TRUE,160,0.88,TRUE,0.5,premium_adjustment,3/21/24 8:09,decrease,delayed,high
POL-505244,67,6,980.33,91000,0.74,0.56,0.5,0.54,0.8,LIME,TRUE,150,0.51,TRUE,0.55,retention_call,12/4/24 11:52,neutral,delayed,high
POL-873940,63,250,596.09,1266000,0.66,0.58,0.44,0.7,0.73,LIME,TRUE,248,0.77,FALSE,0.57,retention_call,10/2/25 15:00,increase,delayed,high
POL-417207,28,300,89.16,1712000,0.74,0.42,0.42,0.74,0.77,SHAP,FALSE,150,0.78,FALSE,0.5,none,9/28/24 15:40,increase,delayed,mild
POL-801205,64,28,295.14,297000,0.71,0.59,0.3,0.86,0.72,LIME,TRUE,190,0.87,TRUE,0.8,premium_adjustment,3/26/24 16:49,increase,delayed,high
POL-875799,36,72,190,916000,0.79,0.39,0.28,0.42,0.65,counterfactual,FALSE,44,0.62,FALSE,0.78,none,1/26/24 16:24,increase,moderate,none
POL-004239,46,236,143.69,756000,0.97,0.05,0.38,0.2,0.86,counterfactual,FALSE,74,0.69,FALSE,0.62,none,1/2/25 12:03,decrease,moderate,none
POL-001347,43,200,129.83,346000,0.92,0.25,0.38,0.28,0.79,SHAP,FALSE,15,0.6,FALSE,0.75,none,3/20/24 18:47,decrease,fast,none
POL-128676,60,380,65.24,982000,0.77,0.3,0.15,0.32,0.66,LIME,FALSE,20,0.66,FALSE,0.44,premium_adjustment,1/6/25 9:37,increase,fast,none
POL-708141,28,160,480.01,356000,0.84,0.35,0.14,0.54,0.66,LIME,FALSE,99,0.74,FALSE,0.71,none,8/21/24 9:26,increase,moderate,mild
POL-313659,53,206,66.33,495000,0.58,0.36,0.04,0.4,0.76,counterfactual,FALSE,110,0.59,FALSE,0.91,none,11/4/25 13:11,increase,delayed,none
POL-608381,35,38,134.34,600000,0.78,0.52,0.3,0.54,0.46,counterfactual,FALSE,130,0.8,TRUE,0.94,none,1/26/24 9:43,increase,delayed,mild
POL-063860,39,520,631.06,985000,0.88,0.38,0.02,0.3,0.71,LIME,TRUE,15,0.62,FALSE,0.68,coverage_review,10/7/25 13:37,increase,fast,mild
POL-193623,61,200,597.5,542000,0.97,0.48,0.34,0.81,0.76,feature_importance,TRUE,140,0.73,TRUE,0.4,premium_adjustment,1/26/24 9:43,increase,delayed,high
POL-898216,55,240,310.12,135000,0.69,0.42,0.38,0.54,0.73,rule-based,FALSE,248,0.69,TRUE,0.72,retention_call,8/6/24 15:03,increase,delayed,mild
